SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,0.893547,15.1024,-2.90189,-4.23413,0.722706,15.0075,0.996486,15.0288,-2.88503,-4.21933,2.30251
R,0.749303,14.9225,-2.85483,-4.17465,1.03147,15.2134,0.853604,14.8169,-2.83246,-4.25977,2.54563
L,0.64902,14.7087,-2.70432,-4.22858,0.737301,14.7047,0.71333,14.603,-2.78061,-4.29864,0.508236
R,0.534709,14.4675,-2.57853,-4.36694,0.722177,14.2445,0.575628,14.3872,-2.72952,-4.33598,1.75604
L,0.359988,14.2445,-2.60512,-4.41224,0.253435,14.2029,0.440459,14.1696,-2.67925,-4.37181,0.814818
R,0.233834,13.992,-2.50203,-4.58483,-0.0328023,13.9604,0.307779,13.9502,-2.62984,-4.40617,2.93927
L,0.222481,13.7445,-2.16466,-4.65466,0.459172,13.6856,0.177545,13.7292,-2.58135,-4.43909,3.86474
R,0.116534,13.5013,-2.05909,-4.75586,0.0524412,13.6377,0.0497099,13.5065,-2.53381,-4.47061,0.92805
L,-0.0501921,13.2692,-2.10972,-4.79065,-0.190344,13.2856,-0.0757753,13.2823,-2.48728,-4.50075,1.30247
R,-0.167654,13.0515,-2.06498,-4.74692,-0.275043,13.1456,-0.198962,13.0566,-2.44179,-4.52955,1.1737
L,-0.168932,12.8274,-1.75928,-4.76119,0.0462308,12.9301,-0.319903,12.8295,-2.39739,-4.55704,3.54328
R,-0.285234,12.6025,-1.74191,-4.71455,-0.684792,12.3563,-0.438654,12.6011,-2.35412,-4.58326,3.42537
L,-0.404185,12.3669,-1.72844,-4.74688,-0.476482,12.3633,-0.555273,12.3714,-2.31202,-4.60823,0.342316
R,-0.525119,12.1587,-1.74001,-4.69771,-0.972122,12.5207,-0.669818,12.1404,-2.27111,-4.63198,3.75375
L,-0.602136,11.9405,-1.64912,-4.70175,-0.582624,12.0386,-0.78235,11.9083,-2.23144,-4.65456,0.52578
R,-0.726012,11.7122,-1.67504,-4.69448,-1.26757,11.6495,-0.892931,11.6751,-2.19304,-4.67598,2.79375
L,-0.923074,11.4669,-1.86411,-4.72374,-1.17212,11.3988,-1.00163,11.4409,-2.15594,-4.69628,4.26771
